Sno,Book Title,Published Date,Prices,
1,It Ends With Us: The most heartbreaking novel you'll ever read,2-Aug-16,₹838.7,
2,The Midnight Library,18-Feb-21,₹761.5,
3,Heaven Official's Blessing,14-Dec-21,"₹1,331",
4,You've Reached Sam,1-Jan-22,₹750.8,
5,Grandmaster of Demonic Cultivation,14-Dec-21,"₹1,331",
6,The Spanish Love Deception,28-Oct-21,"₹2,026",
7,Ugly Love,21-Jan-16,₹823.1,
8,Demon Slayer Complete Box Set,9-Dec-21,"₹13,32",
9,Seven Husbands of Evelyn Hugo,14-Oct-21,₹851.2,
10,Flavourbomb,1-Mar-22,"₹2,198",
11,The Christmas Pig,12-Oct-21,"₹1,889",
12,The Scum Villain's Self-Saving System,14-Dec-21,"₹1,331",
13,The Song of Achilles,21-Sep-17,₹887.3,
14,The Love Hypothesis,28-Sep-21,"₹1,178",
15,This Much is True,10-May-22,"₹2,079",
16,The Thursday Murder Club,13-May-21,₹835.9,
17,No Longer Human,1-Jan-20,₹994.7,
18,Animal Farm,1-Oct-08,₹334.1,
19,The Promise,17-Jun-21,"₹1,772",
20,The Hating Game,7-Sep-17,₹706.6,
21,Atomic Habits,27-Nov-18,"₹1,424",
22,The Storyteller,5-Oct-21,"₹1,888",
23,9-Nov,10-Nov-15,"₹1,098",
24,The Real Anthony Fauci,16-Nov-21,"₹2,427",
25,Where the Crawdads Sing,20-Dec-19,₹748.3,
26,Diary of a Wimpy Kid: Big Shot (Book 16),26-Oct-21,"₹1,097",
27,The Body Keeps the Score,24-Sep-15,"₹1,123",
28,Dune,15-Jul-11,"₹1,165",
29,Giraffes Can't Dance,1-May-14,₹722.7,
30,Joy's Playground,26-Oct-21,₹637.6,
